manufacturer,vehicle_type,charging_type_last,drive_config,battery_chemistry,model_year,battery_capacity_kwh,battery_age_years,battery_health_pct,motor_power_kw,vehicle_weight_kg,drag_coefficient,tire_type,ambient_temp_c,hvac_usage,avg_speed_kmh,elevation_change_m,num_passengers,cargo_weight_kg,regenerative_braking,driving_mode,wind_speed_kmh,actual_range_km
tesla ,Sports Car,DC Fast Charge,AWD,NCA,,64.1,5.0,,616.0,2811.0,0.329,Low Rolling Resistance,17.7,Max Heat,,108.6,2.0,287.0,,Off-Road,71.3,355.1
AUDI,Sedan,Level 1,4WD,Solid State,2024.0,124.5,6.0,72.0,247.0,2252.0,,Low Rolling Resistance,37.6,Heating,115.1,-378.1,4.0,274.0,Max,Chill,45.1,455.3
BMW,Van,Level 1,AWD,,2023.0,77.9,0.0,66.5,317.0,3225.0,0.499,Performance,4.0,Cooling,51.6,,,332.0,,Sport,43.6,225.1
NIO ,Sedan,Level 1,RWD,Solid State,2021.0,90.2,6.0,74.1,,3594.0,0.337,Performance,19.6,Heating,112.6,422.8,5.0,,High,Normal,13.1,471.6
BMW,,Level 2,AWD,,2021.0,23.2,0.0,78.2,550.0,1606.0,0.227,,3.0,Cooling,121.9,272.7,,381.0,High,Chill,49.9,320.6
VW,Hatchback,Level 1,AWD,NCA,2015.0,120.7,0.0,92.6,192.0,2445.0,0.427,Performance,3.8,None,67.2,433.0,2.0,361.0,Medium,Normal,30.0,230.9
Rivian,,,4WD,NMC,2023.0,98.4,0.0,93.2,139.0,1365.0,0.257,Low Rolling Resistance,26.6,,91.6,-102.8,5.0,203.0,Low,Eco,28.7,495.6
rivin,Van,Supercharger,AWD,NCA,2023.0,98.7,2.0,61.4,119.0,3385.0,0.241,Standard,,None,91.7,495.8,4.0,252.0,Medium,Off-Road,35.3,665.4
BYD,Crossover,DC Fast Charge,AWD,LFP,2015.0,56.3,5.0,80.7,566.0,3603.0,0.482,Low Rolling Resistance,39.8,Heating,75.2,243.1,6.0,308.0,Off,Normal,30.4,520.4
BYD ,Crossover,Level 2,FWD,NCA,2019.0,80.2,1.0,62.9,262.0,1755.0,0.459,Low Rolling Resistance,21.5,Max Cool,82.9,243.8,5.0,73.0,,,62.5,651.6
Hyundai,Van,Level 2,AWD,NMC,2024.0,52.6,2.0,70.3,401.0,2136.0,0.496,All-Terrain,31.1,,67.3,-12.8,6.0,,Off,,24.7,484.2
Audi,Van,,FWD,Solid State,2015.0,,,61.2,637.0,2503.0,0.201,Performance,-2.8,Max Cool,32.1,-94.0,1.0,,Max,Normal,25.5,82.7
NIO,Crossover,Level 2,,LFP,2018.0,80.4,3.0,,162.0,,0.377,Performance,16.0,Max Cool,127.5,-344.9,5.0,333.0,High,Eco,54.6,196.8
,Sports Car,,FWD,NMC,,,0.0,64.9,457.0,2562.0,0.214,Low Rolling Resistance,27.0,Max Cool,103.1,-378.0,1.0,384.0,Low,Sport,31.2,623.8
Tesla,Sedan,Supercharger,,NMC,2018.0,118.5,5.0,95.3,,2516.0,0.471,Low Rolling Resistance,41.6,Max Heat,101.1,,,161.0,High,Sport,23.6,517.7
Polestar,Van,Supercharger,4WD,NCA,2017.0,32.7,7.0,63.1,193.0,,0.238,Low Rolling Resistance,1.3,Cooling,,427.1,6.0,497.0,Low,Chill,45.0,125.3
VW,,DC Fast Charge,4WD,,2020.0,34.6,1.0,76.1,395.0,,0.263,Standard,40.9,Max Cool,29.5,268.0,2.0,300.0,Low,Chill,11.3,155.5
RIVIAN,SUV,Supercharger,4WD,NCA,2022.0,103.9,9.0,96.1,608.0,2883.0,0.431,All-Terrain,18.7,Max Cool,68.3,173.4,6.0,291.0,,Chill,,497.3
tesla ,Truck,Supercharger,FWD,NMC,2015.0,94.3,6.0,98.0,435.0,2536.0,0.299,Low Rolling Resistance,17.5,Heating,85.2,36.5,3.0,461.0,Max,Off-Road,0.9,576.5
Tesla,Sedan,Supercharger,AWD,,,110.4,9.0,,323.0,1904.0,0.322,,,Max Heat,73.5,-286.8,3.0,,High,Normal,58.5,246.1
Tesla,Sedan,DC Fast Charge,4WD,Solid State,2021.0,96.7,5.0,73.3,446.0,1575.0,0.467,Performance,-5.8,Cooling,111.6,-87.9,4.0,153.0,High,Sport,59.2,293.0
Hyundai,Van,,4WD,Solid State,2020.0,25.0,4.0,68.0,253.0,3801.0,0.201,Standard,21.7,None,43.6,-65.3,6.0,264.0,Off,Normal,6.5,316.2
Rivian,,Wireless,FWD,,2024.0,,4.0,95.0,478.0,1301.0,0.23,Standard,35.4,None,44.3,,2.0,282.0,Off,Normal,25.3,642.7
Rivian,,Wireless,4WD,NMCA,2015.0,23.0,8.0,86.2,684.0,3259.0,0.459,Performance,20.5,Max Heat,,-148.5,6.0,295.0,Max,Normal,43.8,678.4
BMW,Sports Car,DC Fast Charge,RWD,Solid State,2019.0,87.0,2.0,90.2,72.0,2513.0,0.263,Performance,17.8,Max Cool,112.3,,1.0,237.0,Medium,Off-Road,7.0,108.3
,,Supercharger,4WD,NMCA,2018.0,37.0,3.0,90.2,505.0,2611.0,0.313,,,Max Heat,77.4,-311.7,5.0,132.0,Low,Chill,42.9,630.3
Audi,Crossover,Level 1,4WD,NCA,,32.4,0.0,86.1,659.0,2103.0,0.419,Low Rolling Resistance,-14.0,Max Heat,118.0,,5.0,157.0,Medium,Eco,3.3,555.7
BYD,Truck,Level 2,AWD,NMCA,2018.0,126.3,7.0,72.9,386.0,,0.392,Performance,10.7,Heating,111.4,-497.8,4.0,487.0,High,Normal,25.5,442.6
BYD ,Hatchback,Wireless,FWD,Solid State,2018.0,,9.0,,378.0,2173.0,0.311,Low Rolling Resistance,-9.2,Max Cool,,328.2,6.0,239.0,Max,,15.3,131.4
NIO,Sedan,Level 1,AWD,NMCA,,72.9,5.0,,616.0,3716.0,0.466,Standard,16.9,Cooling,126.1,-108.1,2.0,413.0,Medium,Eco,10.0,284.3
tesla ,SUV,Level 1,AWD,,2017.0,104.0,9.0,61.9,353.0,1219.0,0.391,Standard,27.1,Cooling,74.5,-36.2,,87.0,Low,Eco,57.1,678.6
Lucid,Crossover,Wireless,FWD,NMCA,2024.0,69.9,0.0,96.2,,3701.0,0.29,Performance,-15.3,Heating,24.6,265.9,3.0,298.0,,Eco,45.7,638.2
VW,,Supercharger,AWD,Solid State,2015.0,72.7,0.0,71.4,451.0,3425.0,0.449,Low Rolling Resistance,32.5,Max Heat,75.8,213.6,5.0,68.0,Low,Eco,,376.0
Tesla,SUV,DC Fast Charge,AWD,Solid State,2016.0,35.1,9.0,81.0,525.0,1649.0,0.216,Performance,10.9,Max Heat,92.7,-489.9,5.0,310.0,,Off-Road,,255.1
Tesla,SUV,Level 1,4WD,LFP,2020.0,44.5,0.0,72.3,686.0,3297.0,,Low Rolling Resistance,-17.2,,,-362.9,,212.0,Max,Eco,9.3,517.4
,Truck,,4WD,NMCA,,69.2,3.0,65.6,586.0,1366.0,,Low Rolling Resistance,,Cooling,73.1,242.4,6.0,299.0,Max,Normal,,619.0
BYD,,Supercharger,RWD,NMC,2019.0,56.6,8.0,88.6,202.0,1209.0,,Performance,-14.6,None,46.7,,2.0,,High,Normal,,243.3
Rivian,,Wireless,FWD,NMCA,2015.0,,0.0,81.6,435.0,2946.0,0.303,Standard,,Cooling,40.1,366.1,2.0,231.0,,Normal,,159.3
Hyundai,Hatchback,Supercharger,RWD,NMC,2018.0,27.6,1.0,87.9,497.0,1676.0,0.455,Low Rolling Resistance,45.0,None,43.0,,5.0,,High,Off-Road,77.0,647.5
Rivian,Sedan,Supercharger,RWD,NMCA,2023.0,110.7,,87.5,563.0,,0.482,Performance,29.3,Cooling,51.4,-498.9,,420.0,Low,Off-Road,29.7,459.8
bmw,Sedan,Supercharger,AWD,LFP,2021.0,95.5,7.0,65.6,395.0,1397.0,0.382,Performance,,,,-225.1,1.0,107.0,High,Chill,,519.3
Audi,Truck,,RWD,NCA,2018.0,93.5,8.0,93.2,188.0,3312.0,0.214,All-Terrain,-0.9,,117.1,93.4,1.0,,Medium,Normal,35.7,184.0
,Hatchback,Level 2,4WD,LFP,2022.0,87.0,2.0,71.1,103.0,,0.417,,15.4,,,,3.0,390.0,Low,,,292.2
Hyundai,Crossover,Level 1,AWD,LFP,2015.0,85.6,3.0,71.7,468.0,2628.0,0.317,Low Rolling Resistance,1.1,Cooling,49.9,-39.5,4.0,,Off,Normal,40.8,468.0
Rivian,,Level 1,4WD,NMCA,,54.9,3.0,66.9,520.0,3215.0,0.458,,,Max Heat,31.8,119.6,2.0,317.0,Medium,,61.6,386.1
Polestar,Sports Car,Level 2,,NCA,2021.0,52.7,9.0,74.8,472.0,3048.0,0.308,All-Terrain,12.8,Max Heat,95.9,-443.8,,,,Normal,78.4,157.8
NIO,Crossover,DC Fast Charge,FWD,Solid State,2019.0,36.6,4.0,69.6,569.0,2382.0,0.251,Performance,-16.9,,95.2,171.1,2.0,85.0,High,,,599.2
,Van,Level 2,AWD,,2024.0,126.9,9.0,62.9,172.0,2874.0,0.303,All-Terrain,25.4,,83.9,,2.0,118.0,Low,Sport,65.7,543.1
HYUNDAI,Van,DC Fast Charge,FWD,Solid State,2022.0,,5.0,98.7,363.0,1998.0,0.471,Performance,,None,76.1,34.6,5.0,60.0,Low,Sport,51.6,481.9
Lucid,Sports Car,,AWD,NCA,2017.0,110.7,8.0,75.9,529.0,2427.0,0.458,All-Terrain,39.3,Heating,111.5,,3.0,226.0,,Sport,22.4,261.6
,Sedan,,FWD,LFP,2022.0,118.2,5.0,81.3,140.0,,0.354,,22.1,Max Heat,,124.8,,201.0,Medium,Normal,66.0,100.0
Polestar,SUV,Level 2,4WD,Solid State,2019.0,,6.0,93.1,267.0,1588.0,0.372,Low Rolling Resistance,35.3,,102.6,-411.7,4.0,219.0,Low,Eco,,646.0
BYD,Truck,Supercharger,RWD,Solid State,2016.0,66.2,7.0,85.2,303.0,2457.0,0.433,Performance,13.4,Max Cool,24.2,-31.0,3.0,350.0,High,Normal,30.9,117.9
rivin,Sedan,DC Fast Charge,4WD,,2023.0,94.1,8.0,95.8,335.0,1966.0,,All-Terrain,1.5,Max Heat,54.8,414.9,5.0,296.0,Off,Eco,17.2,547.4
Lucid,Crossover,Level 1,FWD,NMCA,2020.0,29.8,6.0,83.2,149.0,3455.0,0.454,Low Rolling Resistance,3.8,Max Heat,73.2,,2.0,297.0,Off,Off-Road,73.8,235.6
Audi,Truck,Wireless,,,2023.0,44.7,7.0,70.1,76.0,3557.0,0.346,All-Terrain,6.1,,29.9,,1.0,330.0,High,Eco,60.2,636.0
NIO,SUV,Wireless,4WD,,2024.0,45.0,8.0,92.2,555.0,2064.0,0.273,Standard,-9.6,Heating,82.4,198.0,2.0,354.0,,,,352.5
Lucid,Sedan,,FWD,NMC,2015.0,102.4,1.0,88.8,608.0,,0.411,All-Terrain,-3.4,Max Cool,50.4,-265.7,4.0,419.0,Max,Chill,3.8,430.5
Polestar,,Level 2,AWD,,2017.0,99.8,0.0,85.8,549.0,2748.0,0.404,Low Rolling Resistance,-11.8,Heating,31.2,-314.1,3.0,339.0,Off,,38.9,92.6
Audi,Hatchback,Wireless,AWD,NCA,2018.0,95.9,3.0,,671.0,3645.0,0.218,Low Rolling Resistance,10.8,Max Cool,38.0,71.4,4.0,260.0,Max,Normal,29.9,312.7
,Hatchback,Supercharger,RWD,NMC,2016.0,75.3,0.0,71.5,229.0,2270.0,0.42,Performance,,Heating,118.9,382.3,5.0,256.0,Low,Eco,26.4,463.4
Polestar,,,RWD,LFP,2015.0,92.9,7.0,62.8,486.0,1571.0,0.439,Low Rolling Resistance,32.5,None,84.7,293.9,3.0,369.0,Low,Normal,65.2,288.5
VW,Truck,Level 2,FWD,LFP,2023.0,,3.0,82.0,462.0,3471.0,0.404,Standard,-6.4,Heating,,,6.0,215.0,Max,Normal,20.9,5764.86328165706
hyundai,SUV,Level 2,4WD,NMCA,2018.0,108.1,0.0,65.4,514.0,1342.0,0.202,All-Terrain,18.0,None,50.5,,5.0,383.0,Off,Off-Road,36.9,575.2
,Sports Car,Level 2,AWD,LFP,2018.0,113.9,3.0,84.4,238.0,1278.0,0.34,All-Terrain,32.7,Cooling,,-53.1,1.0,209.0,Max,Sport,36.9,109.9
POLESTAR,,Level 2,4WD,NMC,2022.0,44.9,1.0,81.4,86.0,1569.0,0.282,Performance,1.2,Max Cool,23.1,-229.1,5.0,17.0,Medium,Sport,42.9,547.4
Rivian,Crossover,,RWD,Solid State,2023.0,22.6,7.0,67.3,167.0,2457.0,0.248,All-Terrain,-9.2,Max Heat,,-466.9,5.0,229.0,Medium,Chill,70.3,364.6
VW,Hatchback,DC Fast Charge,RWD,NMCA,2015.0,54.0,3.0,80.7,462.0,,0.308,Low Rolling Resistance,,Max Heat,107.8,383.3,4.0,131.0,Max,Normal,68.5,338.4
rivin,Sedan,DC Fast Charge,AWD,LFP,,,6.0,,,,0.34,Low Rolling Resistance,4.7,Max Heat,124.2,-409.1,5.0,463.0,Max,Chill,19.7,623.4
Hyundai,Crossover,DC Fast Charge,FWD,NMCA,2018.0,114.4,5.0,81.3,211.0,1243.0,0.479,Standard,40.4,Max Heat,50.3,,6.0,496.0,Medium,Sport,54.2,526.4
BYD,Hatchback,,AWD,NCA,2017.0,111.6,8.0,84.8,486.0,,0.239,,15.0,Max Heat,60.4,425.1,4.0,451.0,Medium,Off-Road,,117.5
Rivian,Sports Car,Level 1,4WD,NMC,2024.0,88.4,,68.4,263.0,2863.0,0.226,,1.9,Max Heat,71.5,-79.9,4.0,,Max,Off-Road,41.7,546.0
NIO ,Truck,DC Fast Charge,AWD,LFP,2021.0,92.2,1.0,90.7,517.0,2267.0,0.209,All-Terrain,25.6,None,114.3,417.1,6.0,388.0,High,Chill,70.5,593.6
Audi,Van,DC Fast Charge,4WD,NMCA,,,1.0,82.7,271.0,2171.0,0.392,Low Rolling Resistance,43.1,Heating,59.4,-465.4,3.0,427.0,High,Normal,32.0,528.3
Audi,Sports Car,Level 2,FWD,NCA,2022.0,,7.0,,52.0,1747.0,0.342,Standard,30.9,Heating,96.2,59.6,3.0,,Off,Normal,,323.7
Polestar,Crossover,Supercharger,4WD,NMCA,,102.1,9.0,85.7,220.0,3478.0,,All-Terrain,18.6,None,,-29.4,,202.0,Off,Chill,32.4,520.2
VW,Crossover,Supercharger,FWD,NMCA,2016.0,125.8,3.0,96.4,,3469.0,,,17.8,None,,358.3,4.0,53.0,Off,Eco,,508.7
Audi,Sedan,DC Fast Charge,RWD,NMC,2024.0,104.7,8.0,66.8,471.0,2807.0,0.475,All-Terrain,-13.6,Cooling,78.4,,1.0,,Low,Sport,,279.5
,Hatchback,,AWD,NCA,2021.0,39.6,4.0,77.8,352.0,2025.0,0.497,,33.6,,44.8,14.1,2.0,247.0,Low,,14.8,449.6
Audi,Truck,Supercharger,RWD,,2023.0,27.5,2.0,88.8,449.0,2857.0,0.269,All-Terrain,11.3,,,78.9,4.0,463.0,Low,Chill,51.8,496.8
lucid,Hatchback,,,Solid State,2018.0,28.0,5.0,99.2,530.0,1301.0,0.45,Performance,16.2,Max Cool,,-260.4,5.0,316.0,High,Chill,16.1,141.8
Lucid,Truck,Level 2,RWD,NMC,,58.7,1.0,95.3,265.0,2038.0,,Performance,4.3,Max Cool,34.6,-19.1,3.0,450.0,High,Chill,25.4,512.1
Tesla,Van,Level 2,RWD,NMCA,2023.0,59.3,6.0,77.2,556.0,1541.0,0.362,Standard,29.3,Max Heat,51.1,-441.3,3.0,485.0,High,Normal,53.9,618.4
,Crossover,Wireless,RWD,LFP,,107.6,9.0,91.7,286.0,1270.0,0.467,All-Terrain,43.7,Max Cool,105.7,12.5,,183.0,Medium,Chill,68.4,400.9
BYD,Crossover,Level 1,FWD,NMC,2024.0,,0.0,83.3,647.0,2767.0,,Low Rolling Resistance,,,52.4,-173.2,3.0,457.0,,Normal,19.8,184.0
VW,Hatchback,DC Fast Charge,FWD,NCA,,30.8,4.0,91.1,494.0,3323.0,0.367,Performance,-2.2,Max Cool,27.7,146.5,6.0,233.0,,,59.7,329.9
Polestar,Truck,,4WD,NMCA,2017.0,64.8,0.0,100.0,460.0,2486.0,0.484,Low Rolling Resistance,19.7,,119.4,363.1,4.0,218.0,Max,,66.1,574.7
Lucid,SUV,Level 1,AWD,NMC,2018.0,128.0,,62.3,176.0,,0.487,Standard,-17.8,,49.1,331.9,5.0,299.0,Low,Chill,18.0,203.2
BMW,Crossover,Level 2,FWD,NCA,,118.3,6.0,83.9,364.0,3092.0,0.449,Performance,-6.8,Heating,,226.4,3.0,,Medium,Off-Road,56.3,494.5
nio,,DC Fast Charge,FWD,NMC,2016.0,120.6,6.0,71.6,502.0,1972.0,0.302,,12.3,None,105.1,271.0,4.0,69.0,High,Off-Road,74.3,517.6
Rivian,Van,Supercharger,RWD,Solid State,2024.0,79.7,1.0,83.1,449.0,1260.0,0.275,Performance,-3.7,Max Cool,87.5,71.9,1.0,231.0,Low,Sport,39.5,230.0
rivian,Crossover,DC Fast Charge,RWD,NCA,2016.0,76.0,6.0,61.2,420.0,1337.0,,,-17.7,,50.4,120.8,5.0,211.0,Off,Normal,53.9,291.8
lucid,Van,Level 2,FWD,NMC,2024.0,66.0,8.0,91.8,574.0,2974.0,0.424,Performance,2.2,Max Cool,65.6,276.0,,2.0,,Sport,73.0,138.0
Tesla,Truck,Level 2,RWD,Solid State,2019.0,24.7,3.0,95.8,74.0,1526.0,0.395,,-7.6,Heating,109.7,43.4,1.0,466.0,High,Off-Road,73.5,456.4
BYD,Van,Wireless,RWD,NCA,2020.0,54.0,8.0,76.2,133.0,1378.0,0.449,,13.0,None,104.7,361.6,,389.0,Max,Sport,46.2,569.7
Polestar,Crossover,Level 2,AWD,Solid State,2024.0,71.8,2.0,90.2,117.0,2063.0,0.22,Low Rolling Resistance,21.1,Heating,104.1,,5.0,208.0,Medium,Sport,48.5,618.7
tesla ,Hatchback,Level 1,RWD,NCA,2021.0,108.2,4.0,81.6,570.0,,0.39,All-Terrain,26.8,Max Cool,109.5,380.2,4.0,105.0,Max,Normal,66.0,310.3
Audi,Sedan,,RWD,NMCA,,25.8,,67.4,198.0,,0.352,Low Rolling Resistance,,,33.9,349.7,1.0,246.0,Max,Normal,,661.7
,Truck,Supercharger,FWD,NMC,2019.0,120.8,1.0,90.0,552.0,2172.0,0.305,All-Terrain,,Max Heat,37.1,-39.6,5.0,241.0,Max,Sport,19.8,521.8
Polestar,Truck,,AWD,,2023.0,89.6,3.0,65.0,314.0,1515.0,0.446,Low Rolling Resistance,26.6,Max Cool,28.5,187.1,5.0,104.0,Off,Eco,12.7,528.5
VW,Sports Car,Supercharger,4WD,NMCA,2018.0,98.8,,77.0,694.0,2271.0,0.391,All-Terrain,1.8,Heating,,-180.1,6.0,492.0,Max,Normal,41.3,158.6
NIO,Van,Level 1,FWD,NCA,2024.0,34.1,,86.3,,3244.0,,All-Terrain,44.0,Max Cool,94.1,122.0,6.0,,Low,Normal,15.9,212.2
NIO,Sedan,Level 1,AWD,Solid State,2018.0,123.0,2.0,78.3,315.0,3779.0,0.347,Low Rolling Resistance,15.8,Max Cool,102.3,99.3,6.0,86.0,High,Eco,35.9,642.0
NIO ,Sedan,Supercharger,AWD,LFP,2018.0,46.1,,71.0,,3339.0,0.205,Performance,3.9,Cooling,84.1,-51.6,1.0,,Medium,Chill,1.3,295.1
Rivian,SUV,Level 2,AWD,NMCA,2021.0,95.1,0.0,84.4,418.0,,0.425,Low Rolling Resistance,30.7,Max Heat,32.1,60.2,5.0,176.0,Low,Off-Road,77.2,172.2
Tesla,Sedan,,4WD,LFP,2016.0,46.6,,76.8,80.0,,0.232,Performance,13.0,Max Heat,23.5,-20.2,1.0,86.0,,Normal,42.3,521.7
VW,Crossover,Supercharger,AWD,NMCA,2022.0,92.9,6.0,97.1,446.0,2031.0,,Performance,29.0,Max Heat,40.3,374.3,6.0,,Medium,Normal,,264.3
rivin,Van,DC Fast Charge,AWD,NMC,2021.0,78.8,4.0,93.7,518.0,,0.249,All-Terrain,-0.4,Max Cool,23.0,88.9,5.0,75.0,,,20.5,500.5
,SUV,Level 1,RWD,Solid State,2017.0,93.1,7.0,99.1,188.0,1665.0,0.231,All-Terrain,4.6,Max Cool,34.8,33.1,1.0,121.0,Off,Off-Road,51.5,660.2
VW,SUV,,,NCA,2023.0,66.9,,94.9,111.0,2474.0,,Performance,4.2,Cooling,57.9,291.5,5.0,382.0,,Sport,19.4,135.4
BMW,Hatchback,Wireless,FWD,Solid State,2022.0,75.8,1.0,70.4,676.0,3882.0,0.409,,2.6,None,128.8,77.7,2.0,119.0,Max,,4.5,417.6
