date,aqi,pm2_5,pm10,co2_ppm,no2_ppb,ozone_ppb,city,category,temperature_c
2021-05-21 00:53:24.929695,32.1,18.92,27.03,347.8,12.0,43.5,Los Angeles,Good,8.5
2022-01-22 19:48:03.692758,33.6,21.56,,408.7,94.2,44.5,London,Good,11.0
2020-07-01 20:58:16.421986,199.9,25.48,35.92,422.0,1.3,3.1,Mumbai,Hazardous,24.6
2021-06-01 14:43:08.291430,5.8,10.84,19.55,415.8,76.9,3.8,Los Angeles,Moderate,
2023-02-07 23:20:42.902280,,8.4,17.44,387.1,,6.1,Mumbai,Hazardous,7.5
2021-09-24 01:19:39.349934,49.1,22.93,31.04,401.9,0.7,34.5,Los Angeles,good,33.0
2020-02-03 05:11:29.461982,,999.0,1383.23,432.8,1.3,58.7,Toronto,MODERATE,19.1
2022-12-12 04:46:11.595145,14.4,90.06,167.51,378.0,1.5,16.8,New York,Moderate,23.9
2020-04-24 02:35:37.857760,31.9,5.71,7.37,352.1,,119.6,Beijing,good,25.5
2020-11-13 10:19:39.308396,,1.83,4.31,418.2,5.3,45.2,Sydney,Good,33.2
2023-03-07 08:16:35.097418,79.8,0.65,0.85,420.7,26.4,10.2,New York,Unhealthy,15.9
2023-10-29 15:58:53.613412,59.3,1.44,3.58,447.6,0.2,59.7,Mumbai,Very Unhealthy,24.3
2022-11-25 06:14:22.701661,139.2,68.62,115.84,386.4,63.0,71.8,Los Angeles,Hazardous,17.7
2023-09-05 14:04:30.153868,232.8,51.78,79.0,440.4,11.0,30.8,New York,Hazardous,34.0
2022-03-31 13:44:17.624402,120.1,70.85,146.91,423.5,3.0,23.2,New York,Unhealthy,17.1
2020-08-11 19:17:55.104940,2.9,42.34,86.48,459.1,36.2,16.6,New York,Moderate,19.2
2021-11-23 03:21:53.602044,53.3,1.22,1.76,401.6,6.8,33.3,Cairo,good,28.0
2022-08-01 15:09:54.020732,161.6,13.37,29.86,417.2,111.5,11.2,Cairo,Very Unhealthy,15.0
2023-10-26 16:24:18.669449,86.3,12.52,21.64,432.3,95.7,40.1,Mumbai,Moderate,9.5
2022-07-05 06:52:43.885531,84.6,44.93,90.1,434.0,11.7,3.6,Sydney,MODERATE,9.2
2020-06-20 13:03:56.564284,136.2,20.36,44.57,444.0,0.7,3.0,Los Angeles,Good,20.8
2023-09-28 01:57:55.818631,45.0,6.21,13.34,430.0,1.4,12.2,Toronto,MODERATE,13.6
2022-07-20 16:18:48.928264,1.2,23.16,27.93,435.3,37.4,35.5,Beijing,Very Unhealthy,24.4
,22.5,16.3,22.47,435.7,0.9,12.7,Los Angeles,Moderate,41.9
2022-07-08 00:08:27.799875,,11.83,,410.0,77.8,45.4,London,Moderate,14.2
,52.0,6.8,11.17,424.0,46.4,30.5,Cairo,Unhealthy,31.5
2023-03-10 01:24:38.864328,177.4,18.75,38.34,390.5,48.7,140.5,Sydney,Unhealthy,38.8
2022-09-20 15:20:29.933292,38.4,5.84,7.67,393.4,25.5,56.5,Mumbai,Very Unhealthy,23.1
2020-11-10 07:49:26.513256,19.8,29.86,51.37,391.7,4.3,57.3,Toronto,Good,
2022-08-13 20:58:26.160591,160.5,4.69,9.13,429.3,107.0,29.2,London,Hazardous,29.2
2023-05-13 22:41:02.650331,7.5,56.22,79.57,374.2,122.8,6.4,London,Unhealthy,
2023-11-30 08:16:41.889283,4.6,14.74,27.79,395.5,26.6,12.8,Toronto,Hazardous,28.4
2022-01-04 06:13:29.089947,56.1,64.92,130.23,389.0,1.4,123.7,New York,Very Unhealthy,33.3
2021-05-15 03:21:16.372786,73.7,3.13,4.22,480.7,,26.3,Mumbai,Unhealthy,26.8
2023-07-15 04:02:31.878190,3.0,5.68,8.08,429.8,23.6,18.2,Sydney,good,19.7
2023-09-06 21:08:47.713904,4.2,9.59,13.53,379.0,,60.4,Sydney,Good,
2023-02-15 11:55:22.465505,149.6,4.42,9.96,426.4,6.9,37.1,London,good,28.8
2021-08-01 11:32:44.036883,25.6,6.41,12.7,432.3,19.4,1.7,Beijing,good,36.5
2020-04-17 17:59:41.991070,39.0,10.47,15.75,398.9,58.3,33.7,Toronto,MODERATE,18.4
2021-12-08 11:46:53.853903,61.8,21.59,44.28,428.0,15.2,28.9,Sydney,Hazardous,22.9
2020-09-12 18:28:16.634872,142.5,24.2,40.5,423.3,48.0,89.0,Cairo,Moderate,12.4
2020-12-08 08:52:20.859196,370.9,0.55,0.81,366.4,,20.2,Beijing,MODERATE,18.2
2020-11-16 03:31:30.947508,86.4,,131.42,326.3,21.9,3.3,Los Angeles,Very Unhealthy,26.5
2023-09-30 09:14:56.496794,84.3,4.23,7.01,408.6,16.8,27.8,Los Angeles,Hazardous,38.0
2022-07-27 10:57:37.073678,77.8,5.27,10.78,390.5,2.1,62.0,Mumbai,MODERATE,22.0
2020-10-07 21:33:02.975794,7.3,,,416.7,2.5,8.9,Sydney,Very Unhealthy,14.1
2022-09-19 14:51:12.788691,25.7,0.78,,359.8,4.8,,London,Unhealthy,19.9
2022-09-15 13:04:56.734029,7.7,22.96,45.94,414.4,11.4,3.7,Los Angeles,good,
2023-10-03 19:17:33.186203,15.5,62.58,150.01,,63.8,87.7,Sydney,good,25.6
2022-10-24 21:31:25.963771,26.8,21.54,49.63,416.7,10.1,9.8,London,Hazardous,26.2
2022-11-19 23:10:24.735207,92.2,50.22,99.21,451.6,2.6,-5.0,Sydney,Moderate,33.3
,64.7,,71.47,403.4,52.9,,Mumbai,,26.1
2021-10-22 10:25:28.975600,-50.0,3.56,7.22,429.2,83.0,54.6,Toronto,,13.5
2020-05-10 16:51:02.534456,36.5,22.21,50.43,431.4,24.5,148.5,Toronto,Moderate,15.6
2023-04-06 19:25:01.519901,7.5,5.19,12.41,436.7,18.2,31.9,Mumbai,,32.1
2022-07-28 20:59:25.016572,170.2,14.84,19.1,412.1,13.0,9.6,London,Good,17.1
2021-07-02 19:38:05.990038,113.3,21.98,30.08,408.5,9.1,24.8,Sydney,Unhealthy,
2022-02-06 17:19:51.012087,34.3,37.47,64.69,362.6,34.7,21.4,Mumbai,MODERATE,16.0
2021-01-15 06:48:01.926898,37.1,29.58,66.66,394.2,1.2,61.0,Beijing,Moderate,33.5
2020-02-19 01:19:06.718973,38.8,7.21,16.01,,65.9,11.7,Toronto,Unhealthy,13.8
2021-11-30 22:26:07.002275,46.6,14.1,34.58,416.2,14.2,,New York,Moderate,14.9
2022-12-11 01:23:53.087154,6.4,,98.37,404.3,54.3,11.5,Los Angeles,Hazardous,10.6
2020-12-20 05:32:55.171745,66.2,4.79,7.26,433.1,6.5,40.1,Mumbai,Good,
2022-05-23 08:43:46.628382,30.9,5.34,8.58,397.3,26.2,19.6,Sydney,Hazardous,23.8
2022-06-06 15:56:10.615352,37.1,19.98,,383.0,30.2,58.1,Mumbai,good,27.2
2023-10-18 05:32:53.628602,80.8,73.3,167.27,375.4,72.0,59.8,Beijing,Very Unhealthy,23.0
2020-07-20 17:43:27.413661,27.0,21.15,29.64,403.6,18.4,70.6,Beijing,Unhealthy,34.3
2022-01-15 15:48:05.089706,99.8,39.31,56.75,425.8,27.8,80.0,,Moderate,25.6
2022-04-18 11:59:35.647798,72.0,10.43,12.81,355.0,3.5,,,MODERATE,20.4
2023-09-30 11:22:30.473673,91.5,28.24,34.35,388.8,78.6,8.4,New York,Moderate,30.4
2020-07-19 05:02:36.249977,35.3,8.93,12.27,416.8,45.6,2.3,London,Unhealthy,27.9
2020-02-08 09:37:23.217618,18.9,5.28,12.41,416.7,35.7,14.8,Cairo,Very Unhealthy,10.3
2023-03-27 11:58:45.136295,161.4,56.23,114.01,415.0,36.9,10.8,New York,Moderate,17.2
,,29.74,44.11,441.0,10.8,37.3,Mumbai,Hazardous,40.5
2021-08-30 13:12:38.374129,0.2,8.13,18.36,,19.1,11.3,Toronto,Unhealthy,31.2
2021-04-01 21:02:09.546413,15.6,,,412.5,93.4,24.8,Cairo,Hazardous,12.4
2023-03-05 14:10:12.011308,242.1,0.43,0.91,437.5,4.0,3.9,Cairo,Hazardous,34.5
2020-01-14 12:56:38.384110,50.1,43.81,66.92,395.8,1.3,38.6,Los Angeles,Hazardous,41.4
2022-01-22 00:18:42.346125,15.6,48.1,99.03,456.7,5.2,46.5,Beijing,Hazardous,37.1
2020-01-08 13:40:56.052550,27.5,53.19,86.24,411.7,16.6,6.8,Sydney,MODERATE,37.6
,176.0,22.76,51.39,414.7,6.5,,Cairo,Hazardous,30.5
2020-08-21 07:42:32.230555,17.6,24.66,33.22,430.4,42.0,6.1,Mumbai,good,18.6
2023-03-01 07:28:38.587465,307.2,26.27,40.52,451.9,51.7,6.0,Mumbai,Very Unhealthy,13.8
2022-03-20 10:12:27.633853,11.3,8.15,16.11,413.3,98.6,800.0,Cairo,Moderate,11.4
2021-11-18 21:06:56.475706,190.1,50.24,67.48,461.9,73.6,68.9,Beijing,good,24.3
2022-09-19 02:37:55.069000,46.5,,15.31,379.4,3.1,22.2,London,good,14.9
2020-10-27 02:11:51.680227,50.7,2.18,3.42,399.1,28.3,20.0,London,,20.0
2022-09-11 10:20:50.444425,70.2,3.64,8.25,2000.0,26.2,31.9,Toronto,good,12.9
,44.4,22.05,41.45,362.5,0.6,8.3,London,good,15.9
2020-04-29 14:42:01.534244,16.7,26.71,56.35,382.7,2.5,107.2,Cairo,Unhealthy,4.6
2022-09-10 23:35:56.447079,35.6,25.24,47.99,-100.0,25.6,2.6,Sydney,Hazardous,26.8
2022-02-07 00:59:32.787490,136.2,53.31,114.47,475.7,18.4,53.8,Beijing,good,32.0
,268.6,2.76,5.79,374.8,0.3,22.9,,Good,16.2
2022-06-10 07:43:30.733972,50.5,7.3,15.8,425.0,14.0,36.1,Beijing,MODERATE,26.8
2023-02-06 05:37:43.646029,100.7,1.49,1.96,400.9,77.1,48.4,Beijing,MODERATE,31.0
2020-08-13 06:40:03.985914,40.3,28.53,47.23,366.1,231.2,11.6,Beijing,Moderate,18.9
2022-11-28 21:20:33.841081,25.5,2.71,5.48,416.3,44.6,1.4,Toronto,good,200.0
2021-08-10 17:01:56.139001,3.7,0.91,2.18,452.4,32.8,53.2,Sydney,Good,0.3
2022-04-08 17:51:58.022692,23.8,2.43,3.99,420.5,9.1,36.6,Toronto,Good,39.2
2021-02-21 05:28:03.502589,32.6,9.82,22.21,385.2,15.4,,Cairo,Very Unhealthy,
2022-11-01 11:15:09.262267,30.6,11.97,27.3,434.6,60.8,4.2,New York,Moderate,
2022-02-26 22:01:28.034583,91.1,19.89,36.86,402.7,29.8,16.7,Mumbai,good,19.8
2020-10-29 19:59:18.955619,116.3,18.74,30.52,384.5,2.2,,London,MODERATE,36.4
2023-01-08 00:05:55.684588,64.7,23.23,39.97,416.5,61.2,0.8,Sydney,Moderate,23.6
2023-07-07 08:12:15.583589,26.6,16.83,24.82,397.1,2.1,5.2,Sydney,Hazardous,19.2
,59.3,43.97,90.81,390.9,39.6,4.4,Cairo,good,1.0
,66.9,0.47,0.78,442.7,50.9,53.4,Sydney,Very Unhealthy,22.7
2020-06-26 07:27:11.249535,51.0,3.42,7.53,523.5,1.4,57.9,Cairo,Good,37.1
2020-04-03 03:40:39.209873,73.2,8.74,21.65,355.3,63.6,8.0,New York,Moderate,32.9
2020-07-19 13:20:19.993702,16.9,5.95,9.6,431.3,7.1,,Cairo,Moderate,31.5
2022-04-04 06:00:43.480069,140.7,0.27,0.37,,73.7,48.4,,Unhealthy,7.6
2021-09-04 12:15:08.443853,38.5,13.53,28.95,366.7,38.3,31.8,Beijing,Very Unhealthy,46.6
2021-08-20 08:30:36.855238,15.0,38.15,71.28,417.0,1.1,20.2,Toronto,MODERATE,20.1
2020-03-25 08:28:56.951824,250.1,46.11,80.13,433.1,4.2,23.1,Cairo,Moderate,42.2
2023-01-25 12:39:01.469266,49.6,,46.64,411.7,17.7,2.1,London,Good,29.4
2020-06-05 18:23:29.116620,30.1,30.84,40.37,440.2,2.5,104.1,Los Angeles,Moderate,26.2
2022-08-28 05:48:26.715621,125.1,6.42,15.81,425.7,1.6,24.5,Sydney,Hazardous,16.8
2021-08-15 07:31:41.221645,2.8,3.9,7.94,388.6,28.3,10.3,Toronto,Very Unhealthy,36.2
2023-08-25 14:43:17.683102,34.5,13.4,20.29,442.5,13.5,,London,,23.5
2022-08-25 12:19:13.818662,34.4,1.02,1.34,346.2,11.7,5.7,London,Hazardous,19.9
2023-02-28 17:38:27.614986,54.6,26.33,37.02,461.0,2.3,33.7,Los Angeles,Moderate,-3.2
2021-08-08 05:59:38.253341,97.0,31.56,39.17,385.7,9.6,3.8,Los Angeles,Moderate,29.1
2021-04-17 18:46:08.255508,100.0,0.44,0.57,384.2,,96.1,London,Good,-100.0
2020-03-31 18:19:39.252914,116.8,4.56,10.57,406.0,12.1,26.2,Toronto,Unhealthy,23.3
2021-12-06 13:58:37.576210,85.7,0.11,0.23,402.9,19.1,10.6,London,good,16.3
2020-12-10 02:19:01.949638,12.4,20.88,31.67,416.3,10.8,8.6,Cairo,Unhealthy,22.1
,73.7,13.7,18.49,445.2,14.1,92.5,London,Moderate,23.1
2023-07-04 22:07:20.783546,98.5,17.15,31.66,347.5,20.6,83.1,Mumbai,Very Unhealthy,9.0
2021-01-10 20:44:08.737324,9.7,25.23,32.4,397.9,8.6,7.4,New York,MODERATE,14.1
2023-01-06 05:43:23.657034,23.2,68.81,129.17,,8.3,13.6,Beijing,good,20.3
2023-09-26 03:16:11.787468,18.0,,191.15,406.8,23.1,31.2,Toronto,Good,
2023-04-17 22:18:37.354120,111.9,999.0,2473.56,369.1,67.9,29.7,Beijing,good,38.0
2021-09-24 01:19:39.349934,49.1,22.93,31.04,401.9,0.7,34.5,Los Angeles,good,33.0
2021-12-24 18:08:27.512484,20.6,-5.0,-6.58,482.5,10.3,0.8,Beijing,Good,30.2
2022-02-25 20:41:46.740912,219.8,,17.0,435.0,45.6,31.6,Los Angeles,Hazardous,21.6
2022-02-16 17:57:49.661163,57.0,17.15,26.32,382.4,19.5,2.0,Toronto,MODERATE,42.0
2020-07-27 14:25:09.403191,123.6,25.49,54.11,470.8,7.7,5.3,Los Angeles,Hazardous,27.6
2021-02-26 05:38:27.866101,448.5,73.74,164.1,393.3,0.6,5.2,London,Unhealthy,0.8
2021-06-18 15:13:38.383232,323.1,27.79,41.13,400.6,31.3,9.5,Toronto,good,17.8
2021-03-26 18:39:48.465923,1.2,9.59,14.59,,1.4,17.4,Toronto,,33.6
2023-10-25 20:16:37.277658,22.7,,2.77,423.8,8.9,86.2,Toronto,Moderate,20.0
2021-07-19 09:19:31.777308,78.8,11.6,21.06,408.8,0.4,42.7,New York,good,32.7
2021-10-14 00:07:13.488205,47.4,42.35,,428.8,3.9,50.9,New York,Moderate,19.2
2023-08-27 05:29:13.563195,139.9,15.26,30.53,440.0,55.7,39.3,New York,Good,15.3
2023-02-17 19:44:43.999984,12.4,3.36,7.88,369.7,0.6,59.6,New York,Moderate,34.6
2021-04-11 22:01:32.307288,11.0,8.24,13.68,415.7,0.7,59.1,Los Angeles,Hazardous,42.7
2020-08-25 09:41:55.758096,140.0,8.74,20.74,401.1,37.9,,Mumbai,MODERATE,19.0
2023-04-17 21:34:21.735703,82.6,66.85,159.36,488.6,7.6,6.3,Mumbai,good,36.6
2023-01-21 19:03:57.161140,22.9,9.7,23.66,420.8,58.9,,Cairo,Good,17.8
2021-03-10 19:33:25.620730,65.1,54.24,,422.9,103.6,17.9,Beijing,Good,33.3
2020-04-10 20:05:14.427474,51.6,8.43,20.12,402.5,30.9,11.9,Beijing,Moderate,17.9
2021-07-13 08:24:24.266935,1.0,2.45,5.91,449.6,5.5,94.2,London,Very Unhealthy,40.0
2022-11-15 12:40:34.332897,26.5,40.99,72.56,429.5,60.1,18.5,Mumbai,Hazardous,17.7
2020-10-22 05:18:45.376134,,6.41,15.12,372.6,,37.3,Mumbai,MODERATE,41.0
2020-10-25 01:51:46.611313,19.4,7.18,11.51,413.9,37.1,22.7,Beijing,Moderate,18.4
2022-08-01 15:45:52.534455,29.4,60.7,,422.1,13.6,38.0,Sydney,Good,33.4
2023-09-25 03:33:04.371040,64.8,32.37,72.97,,49.6,72.4,Mumbai,Good,8.3
2021-04-03 07:18:47.662363,85.3,24.57,33.03,413.8,13.9,2.8,Sydney,Unhealthy,4.9
2021-07-08 17:35:48.897482,16.3,22.84,44.8,452.6,3.8,12.6,Cairo,Unhealthy,18.6
2021-10-12 07:22:43.904357,249.3,1.59,3.69,424.1,36.4,2.7,Cairo,Moderate,16.6
2023-12-03 00:20:56.690290,78.4,5.01,9.6,352.8,13.3,4.3,Toronto,Hazardous,28.7
2022-11-22 11:23:53.771612,180.5,18.23,26.77,369.7,14.8,13.8,Toronto,good,32.9
2021-04-11 05:28:45.987025,12.0,87.34,190.41,441.8,25.5,2.7,London,Good,17.0
2022-06-18 01:35:40.927795,,0.04,0.09,,36.3,103.5,Beijing,Unhealthy,6.3
2022-06-03 02:35:26.394965,38.4,7.9,19.44,441.8,4.7,26.7,,Hazardous,24.0
2023-01-23 20:58:54.746533,5.3,9.08,13.22,415.0,56.0,15.6,Beijing,Very Unhealthy,27.5
2022-08-09 07:13:17.509998,13.8,37.87,91.7,,84.7,44.8,Los Angeles,Hazardous,9.8
2020-03-07 04:02:29.914254,23.8,0.33,0.45,408.2,71.7,63.4,Cairo,Very Unhealthy,35.6
2023-08-31 11:11:45.058080,17.2,4.45,,415.2,40.9,49.7,Sydney,MODERATE,20.1
2023-12-16 01:28:34.775634,108.4,5.88,13.8,376.5,42.5,25.3,London,Hazardous,35.0
,338.4,0.36,0.82,378.8,37.8,88.5,Los Angeles,MODERATE,42.0
2022-02-23 22:25:53.641414,51.8,1.94,3.61,409.8,17.8,49.5,Los Angeles,Good,27.7
2023-06-29 15:36:27.686929,7.7,45.24,,419.5,47.0,64.1,Beijing,Very Unhealthy,17.7
2023-09-27 10:12:40.536366,49.3,1.88,2.26,371.0,20.7,39.7,Mumbai,Good,26.6
2022-12-04 17:55:44.500728,406.5,1.21,,434.7,125.2,7.1,London,Very Unhealthy,
,61.2,23.75,46.52,383.8,16.5,91.7,Mumbai,Moderate,37.2
2022-09-27 18:31:07.880466,59.0,18.63,46.11,369.9,10.2,37.5,Cairo,Hazardous,10.8
2020-07-14 03:27:20.804215,46.0,17.66,27.85,401.3,133.1,,London,MODERATE,18.0
2022-11-02 08:01:18.822019,13.3,38.38,83.18,447.7,21.2,18.5,Los Angeles,MODERATE,17.2
2020-08-06 22:25:26.042854,69.3,136.65,200.24,378.4,24.4,62.7,New York,MODERATE,23.2
2022-10-02 05:33:45.308786,70.3,4.45,9.66,453.4,15.5,6.2,Toronto,Hazardous,26.5
2023-07-06 16:47:41.126892,193.3,10.11,19.1,389.9,,,New York,good,4.5
2020-04-08 05:28:14.312675,142.2,44.02,56.28,436.4,20.7,1.5,London,good,36.5
2023-08-19 11:54:05.475981,141.3,4.64,10.65,397.3,2.9,24.2,Sydney,Moderate,17.8
2022-10-25 04:51:19.484875,179.1,17.06,33.69,392.5,1.0,13.7,Sydney,MODERATE,30.5
,15.6,12.76,15.36,443.1,1.9,12.6,London,Good,12.8
2020-05-05 23:03:34.735116,39.9,,85.07,440.8,78.8,0.1,Los Angeles,good,20.7
2023-12-16 01:47:01.749087,73.3,40.56,63.84,443.4,1.9,35.0,Mumbai,Good,26.2
2022-04-23 22:10:20.843694,78.5,12.93,26.8,380.8,4.6,51.2,Sydney,,31.2
2023-03-24 21:40:47.719081,58.1,13.94,32.18,390.5,30.0,44.2,Toronto,MODERATE,23.4
2020-06-13 20:47:03.889347,6.3,,92.37,413.2,8.4,34.8,Cairo,Moderate,20.5
2022-05-02 12:39:36.671034,0.9,26.32,35.0,347.7,1.0,13.4,Beijing,Moderate,16.1
2023-01-19 22:05:16.432299,28.5,5.36,11.64,427.7,8.7,5.8,Beijing,good,33.3
2020-06-14 17:57:43.746051,72.9,13.47,27.66,440.8,118.4,125.5,London,Unhealthy,23.2
2021-04-03 09:25:16.039714,110.4,7.48,16.11,441.3,,8.5,Los Angeles,good,33.8
2021-03-27 20:58:10.989904,33.7,25.38,38.16,390.3,15.2,6.7,Beijing,Moderate,10.5
2020-03-23 11:09:13.118751,87.0,11.61,14.38,424.8,9.5,24.3,New York,Good,
2020-05-12 20:46:40.155794,33.9,42.29,65.19,388.7,37.6,31.1,Cairo,Good,18.0
2020-10-29 22:13:46.355202,66.0,38.68,73.84,377.8,65.6,78.5,Beijing,Hazardous,33.8
2022-08-24 21:05:36.804593,91.3,70.14,95.41,380.0,64.6,24.7,Cairo,good,28.4
2022-09-21 13:00:28.253005,162.5,49.46,113.06,500.9,,20.4,London,MODERATE,14.3
2021-01-01 03:13:28.394921,,27.74,64.92,394.0,3.3,46.5,Sydney,Moderate,40.7
2021-06-25 08:37:17.415967,20.2,9.56,18.01,443.2,53.4,6.6,Toronto,good,19.5
2021-03-30 08:07:50.815775,16.5,9.29,22.81,332.5,13.5,0.9,Beijing,Very Unhealthy,14.7
2020-06-22 13:59:22.544116,19.6,15.33,25.62,423.2,29.6,55.1,Toronto,Very Unhealthy,24.8
2020-03-07 10:04:21.614187,148.9,71.92,153.58,426.2,0.5,41.1,Cairo,Very Unhealthy,30.8
2020-10-08 16:44:19.928662,183.6,19.7,25.1,430.0,54.9,15.1,New York,MODERATE,10.2
2022-06-16 23:13:36.169377,77.9,50.58,117.91,443.3,68.1,90.5,Toronto,Hazardous,15.7
,44.3,16.39,33.69,396.9,43.6,28.8,Cairo,Very Unhealthy,13.0
2020-10-17 19:45:56.011518,83.1,6.19,13.53,451.3,13.6,174.0,Beijing,Moderate,27.5
2020-10-20 15:10:32.645907,35.2,8.25,15.57,404.1,,38.5,New York,Moderate,12.5
2020-06-22 13:59:22.544116,19.6,15.33,25.62,423.2,29.6,55.1,Toronto,Very Unhealthy,24.8
2020-03-07 04:31:00.303259,5000.0,24.0,-10.0,415.6,11.5,,,Unhealthy,21.3
2021-08-17 11:48:10.371743,46.1,2.53,4.67,388.8,14.6,134.6,New York,MODERATE,40.0
2020-02-11 10:53:16.726870,199.9,14.11,17.78,332.4,14.4,0.5,Los Angeles,Moderate,15.6
2022-04-22 15:54:23.257882,375.9,80.98,112.75,437.8,20.6,69.9,Sydney,MODERATE,18.9
2021-03-16 21:04:05.354026,45.1,2.78,3.97,417.3,15.6,69.4,London,,10.3
2022-03-15 18:42:12.213002,13.9,0.5,0.88,397.0,17.1,45.8,Cairo,Hazardous,20.2
2021-06-22 23:30:03.985685,65.9,4.71,7.18,439.3,18.4,15.3,Sydney,MODERATE,22.1
2022-01-23 03:41:34.771240,42.8,56.28,107.46,369.2,129.5,31.6,New York,MODERATE,20.2
2021-05-10 09:41:13.047132,44.2,52.64,87.61,434.3,7.7,44.6,Cairo,,24.7
2020-03-31 23:49:51.646116,72.1,21.68,30.22,431.6,0.1,78.7,New York,good,21.8
2023-04-25 03:08:20.505153,166.0,60.18,,449.2,9.2,35.5,Toronto,Good,32.3
2020-02-16 02:59:18.527378,34.6,35.19,71.23,422.5,128.6,69.5,Mumbai,Unhealthy,35.7
2022-12-10 19:42:11.782031,28.7,74.51,158.32,2000.0,,7.3,New York,Unhealthy,15.2
2021-12-18 15:26:37.127018,262.2,8.89,14.0,442.1,6.6,139.5,Cairo,Moderate,48.5
2021-12-31 14:43:53.798883,30.7,6.46,15.21,439.7,0.0,17.2,New York,Good,22.5
2021-10-19 09:54:20.577338,90.5,12.27,22.19,368.7,42.5,41.2,Beijing,Hazardous,20.6
2021-04-24 03:47:40.133497,37.3,27.29,37.12,392.4,14.9,21.5,Toronto,Good,9.9
2022-01-13 19:52:18.872111,22.7,18.06,35.72,443.3,12.9,8.5,London,Hazardous,34.6
2022-06-05 07:56:07.639954,19.3,13.93,23.42,401.8,95.3,13.1,Cairo,Unhealthy,16.1
2020-06-13 13:50:45.702278,40.1,1.72,3.05,394.9,35.2,31.0,Cairo,Hazardous,8.4
2022-08-12 19:31:10.657032,44.9,,8.23,397.1,27.0,77.8,Beijing,,4.6
2021-10-08 07:28:33.551142,7.9,20.07,31.65,468.8,-10.0,14.9,Mumbai,MODERATE,47.5
2021-04-14 05:25:27.505583,24.5,15.14,36.06,375.9,19.5,,London,,22.0
2021-03-13 23:51:22.903029,23.7,31.42,67.21,464.3,38.7,62.5,New York,Good,13.3
2022-01-13 07:00:41.215650,69.7,11.72,2000.0,406.6,78.3,19.3,Toronto,Hazardous,23.0
2022-01-08 10:54:16.745275,26.4,,39.85,402.3,4.8,2.6,Beijing,Very Unhealthy,20.6
2020-06-09 13:22:35.616161,293.2,6.38,8.83,428.9,23.7,,Toronto,Good,27.5
2022-12-25 14:53:18.189653,257.1,17.59,34.66,434.5,9.0,21.7,New York,Unhealthy,24.7
2023-06-18 05:08:32.065206,12.9,1.76,2.74,381.7,38.7,91.4,Cairo,Moderate,-0.6
2023-10-06 15:51:35.215629,27.7,22.95,52.82,440.9,49.2,5.3,Los Angeles,Moderate,17.2
