,tenure_months,monthly_charge_usd,data_usage_gb,calls_per_month,plan_type,churned,complaints_count,contract_type,payment_method,tech_support_calls
73,14.0,1000.0,20.86,275.60165975103735,Basic,0.0,5.0,Monthly,MANUAL,12.0
74,2.0,69.38,5.89,87.0,PREMIUM,0.0,5.175365344467641,Annual,MANUAL,1.0
75,32.0,102.2,9.658229166666668,273.0,Basic,0.0,8.0,Monthly,auto pay,1.0
76,21.0,70.06,2.0,346.0,basic,0.0,3.0,monthly,auto pay,8.0
77,56.0,60.48,18.11,22.0,Family,0.0,0.0,No Contract,Auto Pay,19.0
78,49.0,41.25,1.56,106.0,Basic,0.0,8.0,ANNUAL,Credit Card,17.0
79,64.0,60.24,7.38,245.0,Unlimited,0.0,3.0,monthly,auto pay,5.0
80,63.0,80.16,9.97,389.0,Standard,0.0,4.0,Annual,Credit Card,11.0
81,54.0,58.9,0.13,432.0,Basic,1.0,4.0,ANNUAL,auto pay,9.0
82,48.0,84.21,6.65,290.0,Family,0.0,7.0,No Contract,Manual,9.0
83,71.0,30.48,3.34,6.0,Basic,0.0,7.0,2-Year,auto pay,9.1995841995842
84,51.0,42.79,9.22,352.0,Premium,0.0,5.175365344467641,Annual,Auto Pay,8.0
85,9.0,74.61,13.28,478.0,Standard,1.0,4.0,Monthly,auto pay,17.0
86,5.0,82.35249471458773,2.5,106.0,Family,0.0,3.0,Monthly,auto pay,5.0
87,5.0,30.69,4.73,117.0,Standard,0.0,8.0,2-Year,auto pay,9.0
88,59.0,82.35249471458773,1.27,84.0,basic,0.0,4.0,No Contract,auto pay,6.0
89,42.69874476987448,35.52,8.43,7.0,basic,0.0,9.0,Monthly,auto pay,11.0
90,44.0,89.47,8.82,248.0,PREMIUM,0.0,4.0,No Contract,Auto Pay,7.0
91,60.0,82.35249471458773,7.54,356.0,Basic,0.0,9.0,monthly,Credit Card,6.0
92,42.69874476987448,41.24,1.0,165.0,PREMIUM,0.0,4.0,Annual,Manual,17.0
93,3.0,80.05,10.46,50.0,Premium,0.0,6.0,No Contract,Bank Transfer,11.0
94,16.0,71.16,4.42,454.0,PREMIUM,0.0,9.0,Monthly,Manual,16.0
95,16.0,89.12,14.7,178.0,Family,0.0,3.0,ANNUAL,Bank Transfer,10.0
96,45.0,66.77,1.77,204.0,Standard,1.0,8.0,2-Year,MANUAL,1.0
97,65.0,85.02,1.36,196.0,Family,0.0,9.0,ANNUAL,auto pay,8.0
98,46.0,50.56,17.8,138.0,Premium,0.0,1.0,Annual,Bank Transfer,6.0
99,30.0,83.53,1.39,134.0,basic,1.0,4.0,monthly,auto pay,4.0
100,16.0,27.23,3.55,159.0,Basic,0.0,1.0,Monthly,Manual,19.0
101,61.0,65.34,0.19,214.0,Unlimited,0.0,0.0,ANNUAL,Auto Pay,15.0
102,41.0,40.37,1.44,284.0,Premium,0.0,8.0,Monthly,auto pay,6.0
103,36.0,71.52,0.1,378.0,Standard,0.0,8.0,No Contract,Auto Pay,18.0
104,39.0,36.61,13.01,420.0,Premium,0.0,5.0,Monthly,Auto Pay,13.0
105,62.0,1000.0,1.28,407.0,Standard,1.0,1.0,Monthly,Credit Card,16.0
106,54.0,119.46,12.99,15.0,Family,0.0,6.0,No Contract,Bank Transfer,13.0
107,63.0,45.62,0.49,10.0,Family,0.0,8.0,Annual,Credit Card,12.0
108,3.0,82.35249471458773,2.36,203.0,Premium,0.0,5.175365344467641,Annual,auto pay,17.0
109,25.0,71.96,9.658229166666668,483.0,Unlimited,0.0,3.0,No Contract,auto pay,9.0
110,30.0,96.01,0.23,378.0,Unlimited,1.0,3.0,ANNUAL,Credit Card,18.0
111,41.0,79.75,9.658229166666668,275.60165975103735,Family,1.0,8.0,ANNUAL,Bank Transfer,0.0
112,24.0,82.35249471458773,1.29,264.0,Unlimited,0.0,2.0,Annual,Credit Card,2.0
113,66.0,77.21,6.5,191.0,PREMIUM,0.0,3.0,Monthly,Auto Pay,13.0
114,47.0,89.73,7.9,152.0,Unlimited,0.0,8.0,No Contract,auto pay,17.0
115,52.0,69.66,0.86,38.0,Premium,0.0,2.0,Annual,MANUAL,4.0
116,30.0,87.14,3.06,174.0,Standard,0.0,6.0,2-Year,auto pay,2.0
117,33.0,97.87,14.58,224.0,Basic,0.0,4.0,monthly,MANUAL,4.0
118,36.0,0.06,2.87,156.0,Standard,0.21638655462184875,0.0,monthly,Auto Pay,13.0
119,64.0,63.67,0.54,434.0,PREMIUM,0.0,6.0,monthly,MANUAL,6.0
120,58.0,106.31,6.35,350.0,Family,0.0,4.0,ANNUAL,Bank Transfer,4.0
121,8.0,82.35249471458773,5.6,301.0,Premium,0.0,5.175365344467641,ANNUAL,Credit Card,10.0
122,42.69874476987448,53.36,4.29,292.0,Standard,0.21638655462184875,9.0,Annual,Bank Transfer,12.0
123,61.0,57.1,6.58,461.0,Unlimited,0.0,0.0,2-Year,auto pay,3.0
124,15.0,95.14,21.06,436.0,Basic,0.0,1.0,monthly,Credit Card,15.0
125,42.0,149.38,3.02,26.0,basic,0.0,5.0,2-Year,Auto Pay,9.1995841995842
126,55.0,74.15,14.76,413.0,Unlimited,0.0,6.0,2-Year,Manual,14.0
127,21.0,82.35249471458773,4.04,212.0,basic,1.0,5.175365344467641,monthly,Auto Pay,8.0
128,65.0,55.35,8.57,253.0,Family,0.0,9.0,Annual,MANUAL,2.0
129,42.69874476987448,72.14,3.08,251.0,Family,0.0,7.0,No Contract,Manual,8.0
130,49.0,79.62,7.8,457.0,Basic,0.21638655462184875,0.0,2-Year,Manual,9.0
131,9.0,101.24,0.72,213.0,Unlimited,0.0,5.175365344467641,Annual,auto pay,5.0
132,32.0,54.24,8.22,75.0,Basic,0.0,9.0,No Contract,auto pay,15.0
133,65.0,41.31,8.96,272.0,Standard,1.0,5.0,Annual,Bank Transfer,8.0
134,70.0,65.37,0.7,268.0,Family,1.0,6.0,Annual,Auto Pay,15.0
135,21.0,56.2,13.02,2.0,Standard,0.21638655462184875,5.0,Annual,auto pay,7.0
136,42.0,72.87,9.658229166666668,41.0,Family,0.0,7.0,No Contract,Manual,2.0
137,70.0,69.27,0.47,385.0,PREMIUM,0.21638655462184875,8.0,Annual,MANUAL,18.0
138,29.0,25.04,4.01,248.0,Family,0.0,4.0,Monthly,Credit Card,12.0
139,64.0,82.35249471458773,13.83,61.0,PREMIUM,0.0,7.0,No Contract,auto pay,0.0
140,29.0,67.69,9.658229166666668,485.0,Premium,0.0,1.0,Monthly,MANUAL,3.0
141,60.0,39.57,50.22,432.0,Family,0.0,9.0,Annual,MANUAL,19.0
142,23.0,82.35249471458773,6.16,43.0,Family,0.0,5.0,ANNUAL,Bank Transfer,14.0
143,64.0,75.43,21.14,174.0,Standard,1.0,6.0,No Contract,Bank Transfer,9.0
144,24.0,107.41,1.05,234.0,Basic,0.0,5.0,Annual,Credit Card,9.1995841995842
145,45.0,79.17,42.12,362.0,basic,0.0,6.0,Monthly,Credit Card,0.0
146,40.0,28.63,11.92,457.0,basic,0.0,6.0,No Contract,Bank Transfer,4.0
147,39.0,82.35249471458773,7.17,355.0,Basic,0.0,3.0,Monthly,MANUAL,19.0
148,48.0,111.2,9.658229166666668,40.0,basic,1.0,7.0,Monthly,auto pay,13.0
149,68.0,66.41,4.41,320.0,Standard,1.0,5.0,Annual,Bank Transfer,19.0
150,6.0,44.31,1.32,133.0,Standard,0.0,2.0,2-Year,auto pay,4.0
151,32.0,63.52,1.92,116.0,Family,0.0,0.0,Annual,Auto Pay,9.1995841995842
152,19.0,106.45,1.1,320.0,PREMIUM,0.0,8.0,No Contract,auto pay,19.0
153,14.0,55.52,0.29,342.0,basic,0.0,1.0,Annual,Credit Card,18.0
154,28.0,37.08,7.99,275.60165975103735,basic,0.0,7.0,2-Year,MANUAL,16.0
155,13.0,62.69,8.7,101.0,Family,0.0,5.0,Annual,Credit Card,3.0
156,16.0,96.22,0.1,163.0,Basic,1.0,1.0,Monthly,Manual,11.0
157,70.0,53.77,1.94,490.0,Basic,0.0,9.0,Monthly,Auto Pay,13.0
158,2.0,82.35249471458773,0.28,-50.0,basic,0.0,9.0,No Contract,Credit Card,8.0
159,66.0,50.39,13.58,146.0,Unlimited,0.0,3.0,No Contract,Bank Transfer,13.0
160,53.0,30.6,9.66,31.0,Standard,0.0,5.0,monthly,auto pay,11.0
161,51.0,104.83,8.8,412.0,Standard,1.0,1.0,No Contract,Manual,4.0
162,30.0,64.02,13.04,27.0,Unlimited,0.0,9.0,ANNUAL,Bank Transfer,1.0
163,63.0,45.82,1.59,449.0,Family,0.0,4.0,monthly,MANUAL,9.0
164,69.0,56.05,25.53,474.0,Family,0.0,1.0,Monthly,Manual,9.0
165,45.0,82.35249471458773,0.83,166.0,basic,0.0,5.0,ANNUAL,Auto Pay,0.0
166,6.0,41.46,22.64,162.0,basic,0.0,0.0,2-Year,Manual,16.0
167,55.0,34.34,1.66,184.0,PREMIUM,1.0,2.0,No Contract,auto pay,2.0
168,500.0,70.82,7.0,497.0,Family,0.0,7.0,Annual,Auto Pay,10.0
169,43.0,53.71,8.99,364.0,basic,1.0,5.0,Monthly,Credit Card,8.0
170,53.0,81.09,9.658229166666668,391.0,PREMIUM,1.0,5.175365344467641,Annual,Manual,10.0
171,2.0,52.56,5.62,141.0,Unlimited,0.0,0.0,No Contract,Credit Card,6.0
172,67.0,82.35249471458773,1.8,4.0,Premium,0.0,50.0,Monthly,Auto Pay,16.0
173,25.0,82.93,11.46,275.60165975103735,basic,0.0,5.0,Monthly,Credit Card,11.0
174,43.0,88.38,0.99,153.0,Family,1.0,7.0,Annual,Manual,9.1995841995842
175,8.0,101.14,2.16,258.0,Family,0.0,3.0,Monthly,Bank Transfer,16.0
176,22.0,71.92,5.69,18.0,Family,0.0,1.0,2-Year,Bank Transfer,9.0
177,48.0,74.74,18.86,309.0,basic,1.0,3.0,Monthly,MANUAL,1.0
178,1.0,68.01,16.38,166.0,Basic,0.21638655462184875,1.0,ANNUAL,Credit Card,12.0
179,42.69874476987448,82.35249471458773,3.74,490.0,Basic,1.0,7.0,Annual,Auto Pay,6.0
180,15.0,88.95,0.16,7.0,Family,0.0,6.0,No Contract,MANUAL,17.0
181,21.0,82.35249471458773,10.68,412.0,Basic,1.0,8.0,Annual,auto pay,17.0
182,56.0,47.86,18.89,102.0,basic,0.0,5.0,ANNUAL,Auto Pay,15.0
183,20.0,43.92,8.02,243.0,PREMIUM,0.0,8.0,ANNUAL,Manual,8.0
184,37.0,79.95,1.74,120.0,basic,1.0,7.0,No Contract,auto pay,10.0
185,71.0,92.63,3.8,349.0,Premium,0.0,5.0,No Contract,MANUAL,18.0
186,46.0,63.39,1.5,76.0,basic,0.0,5.175365344467641,2-Year,Bank Transfer,3.0
187,22.0,115.08,17.39,10.0,basic,0.0,8.0,monthly,Manual,14.0
188,15.0,54.11,9.24,484.0,Basic,1.0,5.175365344467641,2-Year,Credit Card,15.0
189,47.0,77.55,8.12,10.0,Family,0.0,9.0,ANNUAL,Credit Card,17.0
190,64.0,86.16,24.57,275.60165975103735,basic,0.0,9.0,2-Year,Bank Transfer,0.0
191,3.0,100.2,0.61,470.0,Premium,1.0,1.0,monthly,MANUAL,13.0
192,34.0,49.54,10.99,480.0,Family,1.0,9.0,Annual,Manual,9.1995841995842
193,35.0,82.35249471458773,8.96,326.0,Premium,0.0,3.0,Annual,auto pay,1.0
194,42.69874476987448,32.68,6.1,238.0,Premium,0.0,0.0,No Contract,Auto Pay,11.0
195,10.0,73.93,24.36,163.0,PREMIUM,0.0,1.0,Monthly,Bank Transfer,5.0
196,25.0,55.18,5.61,20.0,Standard,0.0,1.0,monthly,Bank Transfer,19.0
197,63.0,69.39,9.658229166666668,263.0,PREMIUM,1.0,5.0,monthly,Bank Transfer,13.0
198,28.0,21.47,1.94,384.0,basic,0.0,4.0,No Contract,Bank Transfer,2.0
199,13.0,75.0,9.01,60.0,Family,0.0,6.0,monthly,Credit Card,17.0
200,69.0,96.8,43.81,189.0,Standard,0.0,6.0,Annual,Bank Transfer,10.0
201,0.0,82.35249471458773,4.58,7.0,Unlimited,0.0,5.0,No Contract,Bank Transfer,10.0
202,42.69874476987448,115.66,3.19,412.0,Standard,0.0,6.0,monthly,Bank Transfer,14.0
203,9.0,67.66,13.26,86.0,Unlimited,0.0,7.0,2-Year,Bank Transfer,10.0
204,37.0,68.81,9.658229166666668,275.60165975103735,PREMIUM,1.0,5.0,Annual,MANUAL,8.0
205,27.0,52.0,3.92,379.0,PREMIUM,0.0,7.0,No Contract,MANUAL,14.0
206,16.0,59.31,7.14,374.0,Standard,0.0,3.0,Annual,Bank Transfer,9.1995841995842
207,48.0,96.21,2.41,275.60165975103735,PREMIUM,0.0,6.0,No Contract,MANUAL,4.0
208,35.0,31.71,9.31,82.0,PREMIUM,0.0,0.0,monthly,Credit Card,6.0
209,70.0,60.91,8.3,202.0,Unlimited,0.0,0.0,ANNUAL,Auto Pay,17.0
210,54.0,63.26,3.4,210.0,Basic,0.21638655462184875,8.0,Annual,Manual,0.0
211,68.0,102.72,9.67,-50.0,basic,1.0,2.0,2-Year,Manual,7.0
212,22.0,83.33,1.5,268.0,Standard,0.0,2.0,No Contract,Bank Transfer,19.0
213,63.0,83.55,5.42,441.0,Unlimited,0.0,2.0,monthly,Credit Card,11.0
214,17.0,61.1,13.79,11.0,Premium,0.21638655462184875,6.0,Annual,Bank Transfer,2.0
215,39.0,51.67,1.23,433.0,Premium,1.0,8.0,Annual,Manual,0.0
216,35.0,65.06,1.05,342.0,PREMIUM,0.0,7.0,No Contract,MANUAL,6.0
217,20.0,79.19,0.86,233.0,Unlimited,0.0,4.0,ANNUAL,auto pay,17.0
218,36.0,99.0,0.61,69.0,Unlimited,0.0,3.0,ANNUAL,Auto Pay,13.0
219,42.69874476987448,92.37,19.45,301.0,Unlimited,0.0,0.0,Monthly,Bank Transfer,10.0
220,37.0,77.95,9.658229166666668,220.0,basic,0.0,7.0,monthly,auto pay,1.0
221,36.0,87.52,1.46,449.0,Standard,1.0,6.0,No Contract,Bank Transfer,9.1995841995842
222,33.0,67.29,41.25,174.0,Family,0.0,5.0,Annual,Manual,12.0
223,67.0,108.78,3.29,221.0,Premium,0.0,1.0,monthly,Credit Card,5.0
224,50.0,69.21,0.61,313.0,Standard,1.0,8.0,monthly,Manual,4.0
225,21.0,97.88,14.14,110.0,Basic,0.0,4.0,monthly,Bank Transfer,10.0
226,56.0,74.48,6.29,210.0,Family,0.0,0.0,monthly,auto pay,12.0
227,33.0,109.8,0.09,202.0,Standard,0.0,6.0,2-Year,Credit Card,11.0
228,61.0,44.44,23.93,294.0,Family,0.0,4.0,ANNUAL,Manual,14.0
229,37.0,82.35249471458773,33.54,165.0,Family,0.0,1.0,monthly,Manual,5.0
230,43.0,143.12,15.09,48.0,Premium,0.0,2.0,ANNUAL,Auto Pay,9.1995841995842
231,44.0,57.63,11.26,200.0,Premium,0.21638655462184875,7.0,No Contract,auto pay,1.0
232,48.0,66.01,4.78,339.0,PREMIUM,1.0,9.0,2-Year,Manual,1.0
233,63.0,48.75,10.19,165.0,Basic,0.0,6.0,No Contract,Auto Pay,6.0
234,68.0,71.6,9.658229166666668,13.0,Standard,0.0,2.0,Annual,auto pay,7.0
235,13.0,44.74,10.02,64.0,Unlimited,0.21638655462184875,0.0,2-Year,auto pay,9.1995841995842
236,8.0,64.63,27.05,67.0,Family,0.0,8.0,Monthly,Auto Pay,18.0
237,42.0,21.23,9.95,287.0,PREMIUM,1.0,4.0,monthly,MANUAL,0.0
238,68.0,37.69,6.19,15.0,Premium,1.0,5.175365344467641,2-Year,Auto Pay,12.0
239,42.69874476987448,109.69,2.26,242.0,Premium,0.0,4.0,Monthly,MANUAL,6.0
240,21.0,59.77,3.63,195.0,Family,0.0,8.0,No Contract,auto pay,6.0
241,0.0,82.37,0.03,57.0,Family,0.0,8.0,No Contract,auto pay,14.0
242,9.0,47.79,4.94,64.0,Family,0.0,100.0,ANNUAL,Manual,4.0
243,7.0,37.84,6.49,5.0,Family,0.0,5.175365344467641,monthly,MANUAL,7.0
244,38.0,47.73,13.29,7.0,Basic,0.0,5.175365344467641,Monthly,auto pay,3.0
245,63.0,75.7,1.86,300.0,Standard,0.0,2.0,Annual,MANUAL,19.0
246,55.0,59.97,14.1,197.0,Unlimited,0.0,7.0,No Contract,MANUAL,5.0
247,21.0,55.84,4.16,208.0,Family,0.0,2.0,Monthly,Manual,6.0
248,69.0,82.44,14.71,465.0,Basic,0.0,0.0,monthly,MANUAL,7.0
249,46.0,21.44,0.1,62.0,Basic,0.0,8.0,2-Year,auto pay,1.0
250,4.0,51.5,7.47,215.0,Unlimited,0.0,7.0,ANNUAL,auto pay,8.0
251,37.0,82.12,13.14,181.0,basic,0.0,9.0,2-Year,auto pay,13.0
252,31.0,82.78,4.37,118.0,PREMIUM,0.0,0.0,Annual,Auto Pay,11.0
253,0.0,102.74,6.07,215.0,Premium,0.0,8.0,Monthly,auto pay,5.0
254,62.0,100.45,2.5,39.0,PREMIUM,0.0,6.0,monthly,MANUAL,10.0
255,27.0,57.16,3.78,59.0,Premium,0.0,0.0,monthly,Bank Transfer,9.1995841995842
256,21.0,81.4,0.48,255.0,Unlimited,0.0,3.0,Annual,Bank Transfer,2.0
257,47.0,74.65,6.25,122.0,basic,1.0,2.0,2-Year,Auto Pay,15.0
258,56.0,82.35249471458773,1.56,5.0,basic,0.0,7.0,Annual,Bank Transfer,7.0
259,12.0,71.47,13.89,326.0,Unlimited,0.21638655462184875,6.0,Monthly,MANUAL,13.0
260,26.0,53.15,4.22,444.0,PREMIUM,1.0,0.0,Annual,Manual,12.0
261,60.0,89.99,4.01,175.0,Premium,0.0,1.0,ANNUAL,Bank Transfer,8.0
262,7.0,93.01,-1.0,275.60165975103735,Unlimited,0.21638655462184875,3.0,Annual,MANUAL,19.0
263,71.0,92.11,0.71,451.0,Unlimited,0.0,6.0,monthly,MANUAL,18.0
264,42.69874476987448,89.93,11.75,453.0,Family,0.0,1.0,monthly,Manual,8.0
265,63.0,79.81,15.61,162.0,Premium,0.0,0.0,Annual,auto pay,9.0
266,42.69874476987448,71.4,6.87,304.0,Unlimited,1.0,1.0,2-Year,Auto Pay,2.0
267,46.0,69.47,0.0,419.0,Premium,0.0,8.0,ANNUAL,Bank Transfer,14.0
268,17.0,99.86,6.72,184.0,Premium,0.0,7.0,2-Year,MANUAL,13.0
269,42.0,44.3,9.658229166666668,404.0,Family,1.0,3.0,Annual,Auto Pay,15.0
270,55.0,63.11,6.62,134.0,PREMIUM,0.0,4.0,ANNUAL,Manual,9.1995841995842
271,41.0,75.67,9.02,451.0,Family,0.0,4.0,2-Year,Manual,7.0
272,32.0,60.7,12.83,443.0,Premium,0.0,2.0,Monthly,auto pay,5.0
273,12.0,58.65,14.11,310.0,Standard,0.0,6.0,2-Year,MANUAL,8.0
274,22.0,53.59,0.87,434.0,Unlimited,0.21638655462184875,9.0,2-Year,Auto Pay,9.1995841995842
275,14.0,18.34,9.658229166666668,284.0,basic,0.0,3.0,Annual,auto pay,9.0
276,50.0,63.06,0.77,422.0,Premium,0.0,1.0,Annual,MANUAL,1.0
277,18.0,43.64,9.63,314.0,PREMIUM,0.0,8.0,Monthly,auto pay,17.0
278,22.0,65.78,18.69,237.0,Premium,0.0,5.0,Monthly,Credit Card,4.0
279,25.0,1000.0,0.92,168.0,Basic,0.21638655462184875,6.0,2-Year,Manual,4.0
280,33.0,64.58,3.81,103.0,Premium,1.0,4.0,No Contract,auto pay,6.0
281,11.0,114.43,9.79,163.0,Unlimited,0.21638655462184875,9.0,2-Year,MANUAL,3.0
282,21.0,55.84,4.16,208.0,Family,0.0,2.0,Monthly,Manual,6.0
283,55.0,75.62,1.06,68.0,basic,0.0,1.0,Annual,Bank Transfer,16.0
284,18.0,81.47,6.57,409.0,Standard,1.0,9.0,Monthly,auto pay,5.0
285,0.0,89.07,1.73,394.0,Standard,1.0,5.0,2-Year,MANUAL,17.0
286,57.0,103.98,5.15,431.0,Standard,0.0,7.0,Monthly,Bank Transfer,10.0
287,57.0,81.14,1.43,434.0,Family,1.0,5.175365344467641,ANNUAL,Bank Transfer,7.0
288,21.0,13.91,12.4,259.0,Premium,0.0,1.0,Monthly,auto pay,2.0
289,25.0,82.35249471458773,17.97,168.0,Family,1.0,6.0,Annual,Bank Transfer,10.0
290,71.0,20.08,0.85,236.0,Standard,0.0,7.0,Monthly,Credit Card,1.0
291,17.0,99.78,13.93,39.0,Basic,0.0,3.0,monthly,auto pay,3.0
292,42.69874476987448,55.04,10.27,10000.0,PREMIUM,0.0,5.175365344467641,Monthly,auto pay,1.0
293,60.0,-50.0,15.08,275.60165975103735,Basic,0.21638655462184875,9.0,Monthly,MANUAL,13.0
294,52.0,71.59,4.86,183.0,Basic,0.0,0.0,No Contract,MANUAL,6.0
